"Target Name","ChEMBL-ID","UniProt ID","PDB Visualization","TTD ID","Probability","Model accuracy"
"Protein-tyrosine phosphatase 2C","CHEMBL3864","Q06124","5EHR","T13057","58.24%","94.42%"
"CaM-kinase kinase beta","CHEMBL5284","Q96RR4","6CMJ","Not Available","58.19%","89.23%"
"Endoplasmic reticulum aminopeptidase 1","CHEMBL5939","Q9NZ08","6Q4R","Not Available","57.72%","100%"
"Dipeptidyl peptidase IX","CHEMBL4793","Q86TI2","6EOR","Not Available","57.25%","96.95%"
"Serotonin 2c (5-HT2c) receptor","CHEMBL225","P28335","6BQH","T83813","57.23%","89.62%"
"Caspase-6","CHEMBL3308","P55212","2WDP","Not Available","57.2%","97.56%"
"Transthyretin","CHEMBL3194","P02766","6SUG","T86462","57.15%","90.71%"
"Dual specificity phosphatase Cdc25B","CHEMBL4804","P30305","1QB0","Not Available","56.6%","79.5%"
"Beta-glucosidase","CHEMBL3761","Q9HCG7","Not Available","Not Available","55.62%","99%"
"Toll-like receptor 8","CHEMBL5805","Q9NR97","3WN4","T48703","54.91%","96.25%"
"C-C chemokine receptor type 1","CHEMBL2413","P32246","Not Available","T16016","53.88%","89.5%"
"NT-3 growth factor receptor","CHEMBL5608","Q16288","6KZD","Not Available","53.85%","95.89%"
"Muscarinic acetylcholine receptor M3","CHEMBL245","P20309","Not Available","T67684","53.81%","97.53%"
"NADPH oxidase 1","CHEMBL1287628","Q9Y5S8","Not Available","Not Available","53.6%","95.48%"
"Cyclin-dependent kinase 5/CDK5 activator 1","CHEMBL1907600","Q00535","1UNL","T20973","53.2%","93.03%"
"SUMO-activating enzyme","CHEMBL2095174","Q9UBE0","6XOG","Not Available","52.77%","79%"
"Phospholipase A2 group IIA","CHEMBL3474","P14555","3U8I","Not Available","52%","94.05%"
"Tyrosine-protein kinase ZAP-70","CHEMBL2803","P43403","2OZO","Not Available","51.87%","82.5%"
"Galectin-3","CHEMBL4531","P17931","6FOF","T72038","51.86%","96.9%"
"Dihydroorotate dehydrogenase","CHEMBL1966","Q02127","6FMD","T99009","51.39%","96.09%"
"Proteasome subunit beta type-9","CHEMBL1944495","P28065","6E5B","Not Available","51.1%","97.5%"
"PI3-kinase p110-alpha/p85-alpha","CHEMBL2111367","P27986","4JPS","T80276","51.08%","94.33%"
"Muscarinic acetylcholine receptor M1","CHEMBL216","P11229","6OIJ","T28893","50.96%","94.23%"
"Platelet-derived growth factor receptor alpha","CHEMBL2007","P16234","7LBF","T53524","50.54%","91.07%"
"Histamine H3 receptor","CHEMBL264","Q9Y5N1","Not Available","Not Available","50.45%","91.43%"
"DNA topoisomerase II alpha","CHEMBL1806","P11388","6ZY5","T17048","50.09%","89%"
